video_filepath,frame_number,feature,x,y,z,visibility
/Users/julie_chung/Desktop/coexpression/IMG_9054.MOV,0,eyebrows_left_0,636,1793,-0.040508247911930084,0.0
/Users/julie_chung/Desktop/coexpression/IMG_9054.MOV,0,eyebrows_left_1,604,1799,-0.03142383322119713,0.0
/Users/julie_chung/Desktop/coexpression/IMG_9054.MOV,0,eyebrows_left_2,556,1484,0.0002987715997733176,0.0
/Users/julie_chung/Desktop/coexpression/IMG_9054.MOV,0,eyebrows_left_3,729,1916,-0.044136226177215576,0.0
/Users/julie_chung/Desktop/coexpression/IMG_9054.MOV,0,eyebrows_left_4,690,1969,-0.021859023720026016,0.0
/Users/julie_chung/Desktop/coexpression/IMG_9054.MOV,0,eyebrows_left_5,633,2659,0.021154221147298813,0.0
/Users/julie_chung/Desktop/coexpression/IMG_9054.MOV,0,eyebrows_left_6,518,2489,0.11474478989839554,0.0
/Users/julie_chung/Desktop/coexpression/IMG_9054.MOV,0,eyebrows_right_0,927,1889,-0.030385106801986694,0.0
/Users/julie_chung/Desktop/coexpression/IMG_9054.MOV,0,eyebrows_right_1,956,1917,-0.01875981129705906,0.0
/Users/julie_chung/Desktop/coexpression/IMG_9054.MOV,0,eyebrows_right_2,1001,1665,0.018178528174757957,0.0
/Users/julie_chung/Desktop/coexpression/IMG_9054.MOV,0,eyebrows_right_3,828,1923,-0.04074592888355255,0.0
/Users/julie_chung/Desktop/coexpression/IMG_9054.MOV,0,eyebrows_right_4,858,1979,-0.015608943067491055,0.0
/Users/julie_chung/Desktop/coexpression/IMG_9054.MOV,0,eyebrows_right_5,858,2731,0.03117821179330349,0.0
/Users/julie_chung/Desktop/coexpression/IMG_9054.MOV,0,eyebrows_right_6,964,2639,0.133250430226326,0.0
/Users/julie_chung/Desktop/coexpression/IMG_9054.MOV,0,eyebrows_right_7,811,2548,-0.022090401500463486,0.0
/Users/julie_chung/Desktop/coexpression/IMG_9054.MOV,0,eyebrows_right_8,795,2572,-0.02140013314783573,0.0
/Users/julie_chung/Desktop/coexpression/IMG_9054.MOV,0,chin_0,732,3113,0.04906364902853966,0.0
/Users/julie_chung/Desktop/coexpression/IMG_9054.MOV,0,chin_1,668,2093,-0.0161727461963892,0.0
/Users/julie_chung/Desktop/coexpression/IMG_9054.MOV,0,chin_2,684,2086,-0.014385697431862354,0.0
/Users/julie_chung/Desktop/coexpression/IMG_9054.MOV,0,chin_3,695,2081,-0.012155720964074135,0.0
/Users/julie_chung/Desktop/coexpression/IMG_9054.MOV,0,chin_4,545,1886,0.0033818355295807123,0.0
/Users/julie_chung/Desktop/coexpression/IMG_9054.MOV,0,chin_5,683,2025,-0.019192151725292206,0.0
/Users/julie_chung/Desktop/coexpression/IMG_9054.MOV,0,chin_6,666,2000,-0.021793929859995842,0.0
/Users/julie_chung/Desktop/coexpression/IMG_9054.MOV,0,chin_7,650,1989,-0.021739492192864418,0.0
/Users/julie_chung/Desktop/coexpression/IMG_9054.MOV,0,cheeks_left_0,611,2414,-0.004111113026738167,0.0
/Users/julie_chung/Desktop/coexpression/IMG_9054.MOV,0,cheeks_left_1,642,2508,-0.001645305659621954,0.0
/Users/julie_chung/Desktop/coexpression/IMG_9054.MOV,0,cheeks_left_2,587,2493,0.009993045590817928,0.0
/Users/julie_chung/Desktop/coexpression/IMG_9054.MOV,0,cheeks_left_3,699,2993,0.024942679330706596,0.0
/Users/julie_chung/Desktop/coexpression/IMG_9054.MOV,0,cheeks_right_0,904,2522,0.006645729299634695,0.0
/Users/julie_chung/Desktop/coexpression/IMG_9054.MOV,0,cheeks_right_1,869,2588,0.007040522526949644,0.0
/Users/julie_chung/Desktop/coexpression/IMG_9054.MOV,0,cheeks_right_2,918,2610,0.02227153070271015,0.0
/Users/julie_chung/Desktop/coexpression/IMG_9054.MOV,0,cheeks_right_3,775,3013,0.02776394784450531,0.0
/Users/julie_chung/Desktop/coexpression/IMG_9054.MOV,0,mouth_0,747,2713,-0.013269039802253246,0.0
/Users/julie_chung/Desktop/coexpression/IMG_9054.MOV,0,mouth_1,764,2575,-0.05734054744243622,0.0
/Users/julie_chung/Desktop/coexpression/IMG_9054.MOV,0,mouth_2,759,2600,-0.024095309898257256,0.0
/Users/julie_chung/Desktop/coexpression/IMG_9054.MOV,0,mouth_3,752,2327,-0.053999047726392746,0.0
/Users/julie_chung/Desktop/coexpression/IMG_9054.MOV,0,mouth_4,766,2515,-0.06406861543655396,0.0
/Users/julie_chung/Desktop/coexpression/IMG_9054.MOV,0,mouth_5,769,2418,-0.06350155174732208,0.0
/Users/julie_chung/Desktop/coexpression/IMG_9054.MOV,0,mouth_6,774,2148,-0.04548715427517891,0.0
/Users/julie_chung/Desktop/coexpression/IMG_9054.MOV,0,mouth_7,612,2033,-0.008635384030640125,0.0
/Users/julie_chung/Desktop/coexpression/IMG_9054.MOV,0,mouth_8,780,1930,-0.04467342421412468,0.0
/Users/julie_chung/Desktop/coexpression/IMG_9054.MOV,0,mouth_9,784,1832,-0.0513264536857605,0.0
/Users/julie_chung/Desktop/coexpression/IMG_9054.MOV,0,mouth_10,795,1461,-0.05830821394920349,0.0
/Users/julie_chung/Desktop/coexpression/IMG_9054.MOV,0,mouth_11,745,2732,-0.010051698423922062,0.0
/Users/julie_chung/Desktop/coexpression/IMG_9054.MOV,0,eyes_left_0,532,1999,0.020350826904177666,0.0
/Users/julie_chung/Desktop/coexpression/IMG_9054.MOV,0,eyes_left_1,633,2073,-0.014027913101017475,0.0
/Users/julie_chung/Desktop/coexpression/IMG_9054.MOV,0,eyes_left_2,651,2090,-0.016085999086499214,0.0
/Users/julie_chung/Desktop/coexpression/IMG_9054.MOV,0,eyes_left_3,667,2751,0.015704482793807983,0.0
/Users/julie_chung/Desktop/coexpression/IMG_9054.MOV,0,eyes_left_4,528,2341,0.04025326296687126,0.0
/Users/julie_chung/Desktop/coexpression/IMG_9054.MOV,0,eyes_left_5,691,3087,0.049793653190135956,0.0
/Users/julie_chung/Desktop/coexpression/IMG_9054.MOV,0,eyes_left_6,627,2972,0.06503956019878387,0.0
/Users/julie_chung/Desktop/coexpression/IMG_9054.MOV,0,eyes_left_7,597,2897,0.07463210076093674,0.0
/Users/julie_chung/Desktop/coexpression/IMG_9054.MOV,0,eyes_left_8,789,1653,-0.05737746134400368,0.0
/Users/julie_chung/Desktop/coexpression/IMG_9054.MOV,0,eyes_left_9,732,3113,0.04906364902853966,0.0
/Users/julie_chung/Desktop/coexpression/IMG_9054.MOV,0,eyes_left_10,668,2093,-0.0161727461963892,0.0
/Users/julie_chung/Desktop/coexpression/IMG_9054.MOV,0,eyes_left_11,684,2086,-0.014385697431862354,0.0
/Users/julie_chung/Desktop/coexpression/IMG_9054.MOV,0,eyes_left_12,695,2081,-0.012155720964074135,0.0
